Reference	Genotype	Phenotype
AJ295344.1.gene1.p01	beta-lactam__class C beta-lactamase	beta-lactam
AJ295345.1.gene1.p01	beta-lactam__class C beta-lactamase	beta-lactam
AJ308331.1.gene1.p01	beta-lactam__metallo-beta-lactamase	beta-lactam
AJ308558.1.gene1.p01	beta-lactam__TEM-95	beta-lactam
AJ309734.2.gene1.p01	beta-lactam__OXA-51	beta-lactam
AJ310778.1.gene12.p01	sulfonamide__sul1	sulfonamide
AJ312056.2.gene1.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
AJ313523.1.orf0.gene.p01	macrolide-lincosamide-streptogramin__erm(33)	macrolide-lincosamide-streptogramin
AJ318093.1.gene1.p01	beta-lactam__TEM-93	beta-lactam
AJ318094.1.gene1.p01	beta-lactam__TEM-94	beta-lactam
AJ400619.1.gene1.p01	beta-lactam__OXA-29	beta-lactam
AJ401618.1.gene2.p01	beta-lactam__class C beta-lactamase	beta-lactam
AJ416344.1.gene1.p01	beta-lactam__CTX-M-20	beta-lactam
AJ420072.gene.p01	tetracycline__tetracycline_resistance_protein	tetracycline
AJ420864.1.gene1.p01	beta-lactam__IMP-12	beta-lactam
AJ437107.1.gene1.p01	beta-lactam__TEM-30	beta-lactam
AJ459418.gene.p01	sulfonamide__sul3	sulfonamide
AJ487033.2.gene3.p01	chloramphenicol__cmlA	chloramphenicol
AJ488302.1.gene1.p01	beta-lactam__OXA-42	beta-lactam
AJ488303.1.gene1.p01	beta-lactam__OXA-43	beta-lactam
AJ489618.1.orf2.gene.p01	aminoglycoside__aadE	aminoglycoside
AJ511268.1.gene3.p01	aminoglycoside__aac(3)-I	aminoglycoside
AJ514254.gene.p01	tetracycline__tet36	tetracycline
AJ518835.1.gene6.p01	chloramphenicol__floR	chloramphenicol
AJ536835.1.gene1.p01	beta-lactam__VIM-7	beta-lactam
AJ549214.1.gene2.p01	chloramphenicol__chloramphenicol exporter	chloramphenicol
AJ549244.1.gene1.p01	beta-lactam__CTX-M-28	beta-lactam
AJ550807.1.gene4.p01	beta-lactam__IMP-13	beta-lactam
AJ555823.2.gene1.p01	beta-lactam__ampC	beta-lactam
AJ555825.2.gene1.p01	beta-lactam__ampC	beta-lactam
AJ557142.gene.p01	beta-lactam__CTX-M-32	beta-lactam
AJ567481.1.gene1.p01	beta-lactam__CTX-M-31	beta-lactam
AJ567827.1.gene1.p01	aminoglycoside__aadA	aminoglycoside
AJ579365.gene.p01	macrolide-lincosamide-streptogramin__lsa	macrolide-lincosamide-streptogramin
AJ584652.2.gene10.p01	sulfonamide__sul1	sulfonamide
AJ584652.2.gene3.p01	beta-lactam__IMP-16	beta-lactam
AJ584652.2.gene5.p01	aminoglycoside__aac(6)-30-aac(6)-Ib	aminoglycoside
AJ584700.2.gene1.p01	aminoglycoside__aac(6)-II	aminoglycoside
AJ584701.2.gene1.p01	aminoglycoside__aac(6)-II	aminoglycoside
AJ631966.1.gene1.p01	beta-lactam__OXA-57	beta-lactam
AJ632249.1.gene1.p01	beta-lactam__OXA-59	beta-lactam
AJ634602.gene.p01	beta-lactam__TEM-135	beta-lactam
AJ635401.2.gene1.p01	beta-lactam__OKP-A	beta-lactam
AJ635402.2.gene1.p01	beta-lactam__OKP-B	beta-lactam
AJ635404.2.gene1.p01	beta-lactam__OKP-A	beta-lactam
AJ703795.1.gene1.p01	beta-lactam__FOX-7	beta-lactam
AJ704396.1.gene1.p01	beta-lactam__CTX-M-12	beta-lactam
AJ704863.gene21.p01	sulfonamide__sul1	sulfonamide
AJ746225.1.gene1.p01	beta-lactam__TEM-129	beta-lactam
AJ781421.1.gene1.p01	beta-lactam__CMY-16	beta-lactam
AJ809407.1.gene1.p01	aminoglycoside__aadA	aminoglycoside
AJ854182.1.gene1.p01	beta-lactam__OXA-74	beta-lactam
AJ863560.2.gene1.p01	beta-lactam__SHV-55	beta-lactam
AJ866284.2.gene1.p01	beta-lactam__SHV-61	beta-lactam
AJ866285.2.gene1.p01	beta-lactam__SHV-62	beta-lactam
AJ866988.1.gene1.p01	beta-lactam__TEM-130	beta-lactam
AJ871864.1.gene1.p01	beta-lactam__OXY-1	beta-lactam
AJ871866.1.gene1.p01	beta-lactam__OXY-2	beta-lactam
AJ871867.1.gene1.p01	beta-lactam__OXY-2	beta-lactam
AJ871868.1.gene1.p01	beta-lactam__OXY-5	beta-lactam
AJ871871.1.gene1.p01	beta-lactam__OXY-5	beta-lactam
AJ871873.1.gene1.p01	beta-lactam__OXY-1	beta-lactam
AJ871875.1.gene1.p01	beta-lactam__OXY-1	beta-lactam
AJ871876.1.gene1.p01	beta-lactam__OXY-1	beta-lactam
AJ871877.1.gene1.p01	beta-lactam__OXY-1	beta-lactam
AJ884726.1.gene1.p01	aminoglycoside__aadA	aminoglycoside
AJ920369.1.gene1.p01	beta-lactam__SHV-12	beta-lactam
AL939114.1.orf1.gene.p01	rifamycin__ADP-ribosylating transferase_arr	rifamycin
AM049399.1.gene1.p01	beta-lactam__TEM-144	beta-lactam
AM051140.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM051142.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM051143.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM051144.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM051145.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM051147.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM051148.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM051149.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM051151.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM051152.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM051153.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM051156.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM051157.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM051159.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM051160.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM051161.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM076977.1.gene1.p01	beta-lactam__ACT-2	beta-lactam
AM087405.1.gene3.p01	aminoglycoside__aadA	aminoglycoside
AM087411.1.gene1.p01	beta-lactam__metallo-beta-lactamase	beta-lactam
AM087411.1.gene3.p01	aminoglycoside__aadA	aminoglycoside
AM087453.1.gene1.p01	beta-lactam__SHV-1	beta-lactam
AM087454.1.gene1.p01	beta-lactam__TEM-148	beta-lactam
AM087455.2.gene1.p01	beta-lactam__IND-6	beta-lactam
AM176546.2.gene1.p01	beta-lactam__SHV-71	beta-lactam
AM176547.2.gene1.p01	beta-lactam__SHV-168	beta-lactam
AM176548.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176549.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176550.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176551.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176552.2.gene1.p01	beta-lactam__SHV-77	beta-lactam
AM176553.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176554.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176555.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176556.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176557.2.gene1.p01	beta-lactam__SHV	beta-lactam
AM176558.2.gene1.p01	beta-lactam__SHV-1	beta-lactam
AM180355.1.gene2260.p01	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
AM180355.1.gene636.p01	tetracycline__tetM	tetracycline
AM183304.1.gene1.p01	beta-lactam__TEM-171	beta-lactam
AM231719.1.gene1.p01	beta-lactam__OXA-90	beta-lactam
AM261837.1.gene1.p01	aminoglycoside__aadA	aminoglycoside
AM279652.1.gene1.p01	beta-lactam__OXA-98	beta-lactam
AM283489.1.gene3.p01	aminoglycoside__aac(6)-31	aminoglycoside
AM283490.1.gene4.p01	aminoglycoside__aac(6)-31	aminoglycoside
AM286274.1.gene1.p01	beta-lactam__TEM-137	beta-lactam
AM296480.1.gene1.p01	chloramphenicol__floR	chloramphenicol
AM296481.1.gene2.p01	chloramphenicol__chloramphenicol exporter	chloramphenicol
AM410044.gene9.p01	aminoglycoside__aadE	aminoglycoside
AM411407.1.gene1.p01	beta-lactam__CTX-M-60	beta-lactam
AM412777.1.gene1.p01	beta-lactam__OXA-101	beta-lactam
AM778091.1.gene1.p01	beta-lactam__VIM-18	beta-lactam
AM849805.1.gene1.p01	beta-lactam__TEM-15	beta-lactam
AM850908.2.gene1.p01	beta-lactam__LEN-18	beta-lactam
AM850909.2.gene1.p01	beta-lactam__LEN-19	beta-lactam
AM850910.2.gene1.p01	beta-lactam__LEN-20	beta-lactam
AM850911.2.gene1.p01	beta-lactam__LEN-21	beta-lactam
AM850912.2.gene1.p01	beta-lactam__class A beta-lactamase	beta-lactam
AM850913.2.gene1.p01	beta-lactam__LEN-23	beta-lactam
AM850914.2.gene1.p01	beta-lactam__LEN-24	beta-lactam
AM850915.2.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM850916.2.gene1.p01	beta-lactam__OKP-A	beta-lactam
AM850917.2.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM850918.2.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM850919.2.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM850920.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM850921.2.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM850922.2.gene1.p01	beta-lactam__OKP-B	beta-lactam
AM931008.1.gene1.p01	beta-lactam__ampC	beta-lactam
AM932669.1.gene2.p01	beta-lactam__OXA-129	beta-lactam
AM941159.1.gene1.p01	beta-lactam__TEM-156	beta-lactam
AM941844.1.gene1.p01	beta-lactam__SHV	beta-lactam
AM941845.1.gene1.p01	beta-lactam__SHV	beta-lactam
AM941846.1.gene1.p01	beta-lactam__SHV-100	beta-lactam
AM982520.1.gene5.p01	beta-lactam__class A beta-lactamase	beta-lactam
AM982521.1.gene2.p01	beta-lactam__class A beta-lactamase	beta-lactam
AM982522.2.gene1.p01	beta-lactam__CTX-M-78	beta-lactam
AM991978.1.gene1.p01	beta-lactam__OXA-139	beta-lactam
AY004350.gene.p01	macrolide-lincosamide-streptogramin__msrC	macrolide-lincosamide-streptogramin
AY005110.1.gene1.p1	beta-lactam__CTX-M	beta-lactam
AY007369.1.gene1.p1	beta-lactam__FOX-5	beta-lactam
AY007784.1.gene3.p01	beta-lactam__OXA-37	beta-lactam
AY008291.1.gene1.p1	beta-lactam__OXA-1	beta-lactam
AY027590.1.gene1.p1	beta-lactam__TEM-88	beta-lactam
AY027870.1.gene1.p01	beta-lactam__VEB-2	beta-lactam
AY028464.1.gene1.p01	beta-lactam__JOHN-1	beta-lactam
AY029068.1.gene1.p1	beta-lactam__CTX-M-16	beta-lactam
AY033516.1.gene2.p01	beta-lactam__CTX-M-17	beta-lactam
AY033653.3.gene6.p01	beta-lactam__IMP-9	beta-lactam
AY034138.1.gene10.p01	chloramphenicol__floR	chloramphenicol
AY034847.1.gene1.p01	beta-lactam__KPC-2	beta-lactam
AY036620.1.gene1.p01	beta-lactam__SHV-34	beta-lactam
AY037780.1.gene1.p01	beta-lactam__LEN-2	beta-lactam
AY039040.1.gene1.p01	beta-lactam__TEM-89	beta-lactam
AY040093.1.gene1.p01	beta-lactam__TEM-102	beta-lactam
AY055205.1.gene1.p1	beta-lactam__OXY-2	beta-lactam
AY070258.1.gene1.p1	beta-lactam__SHV-35	beta-lactam
AY072920.1.gene1.p1	beta-lactam__TEM-110	beta-lactam
AY077481.1.gene1.p01	beta-lactam__OXY-4	beta-lactam
AY077483.1.gene1.p01	beta-lactam__OXY-1	beta-lactam
AY077485.2.gene1.p01	beta-lactam__OXY-2	beta-lactam
AY077487.2.gene1.p01	beta-lactam__OXY-2	beta-lactam
AY077488.2.gene1.p01	beta-lactam__OXY-2	beta-lactam
AY079099.1.gene1.p01	beta-lactam__SHV-38	beta-lactam
AY080894.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
AY082011.1.gene1.p01	vancomycin__vanR	vancomycin
AY082011.1.gene2.p1	vancomycin__vanS	vancomycin
AY082011.1.gene5.p01	vancomycin__vanY	vancomycin
AY082011.1.gene6.p01	vancomycin__vanH	vancomycin
AY082011.1.gene8.p01	vancomycin__vanX	vancomycin
AY092401.1.gene1.p1	beta-lactam__TEM-96	beta-lactam
AY101578.1.gene1.p01	beta-lactam__TEM-106	beta-lactam
AY101764.1.gene1.p01	beta-lactam__TEM-107	beta-lactam
AY114142.1.gene1.p01	aminoglycoside__ant(4)-IIa	aminoglycoside
AY115475.1.gene2.p01	beta-lactam__OXA-10	beta-lactam
AY115475.1.gene4.p01	chloramphenicol__cmlA	chloramphenicol
AY123251.gene2.p01	chloramphenicol__catB	chloramphenicol
AY130282.1.gene1.p1	beta-lactam__TEM-117	beta-lactam
AY130284.1.gene1.p1	beta-lactam__TEM-75	beta-lactam
AY130285.1.gene1.p1	beta-lactam__TEM-118	beta-lactam
AY136758.1.gene3.p01	aminoglycoside__aac(6)-I	aminoglycoside
AY138986.1.gene1.p01	aminoglycoside__aadA	aminoglycoside
AY139598.1.gene3.p01	beta-lactam__OXA-119	beta-lactam
AY139603.1.gene1.p01	aminoglycoside__aadA	aminoglycoside
AY143430.1.gene1.p01	beta-lactam__CTX-M-24	beta-lactam
AY144612.1.gene1.p01	beta-lactam__metallo-beta-lactamase	beta-lactam
AY150585.1.gene1.p1	beta-lactam__SHV-39	beta-lactam
AY154657.2.orf0.gene.p01	macrolide-lincosamide-streptogramin__erm(38)	macrolide-lincosamide-streptogramin
AY156923.1.gene1.p01	beta-lactam__CTX-M-129	beta-lactam
AY157676.1.gene1.p01	beta-lactam__CTX-M-26	beta-lactam
AY162283.2.gene3.p01	beta-lactam__OXA-4	beta-lactam
AY162283.2.gene7.p01	sulfonamide__sul1	sulfonamide
AY165025.1.gene1.p01	beta-lactam__VIM-1	beta-lactam
AY171244.1.gene1.p01	aminoglycoside__aadA	aminoglycoside
AY171578.gene.p01	tetracycline__tetC	tetracycline
AY178993.1.gene1.p01	beta-lactam__CARB-8	beta-lactam
AY210887.1.gene1.p1	beta-lactam__SHV-46	beta-lactam
AY216678.1.gene1.p01	aminoglycoside__aac(3)-IV	aminoglycoside
AY223863.1.gene1.p01	beta-lactam__SHV	beta-lactam
AY227054.1.gene1.p01	beta-lactam__OXA-85	beta-lactam
AY227752.1.gene1.p01	beta-lactam__MIR-2	beta-lactam
AY232670.1.gene2.p01	tetracycline__tetG	tetracycline
AY232670.1.gene3.p01	chloramphenicol__catB	chloramphenicol
AY234334.1.orf0.gene.p01	macrolide-lincosamide-streptogramin__erm(34)	macrolide-lincosamide-streptogramin
AY236073.2.gene7.p01	beta-lactam__OXA-48	beta-lactam
AY237830.1.gene1.p01	beta-lactam__OXA-47	beta-lactam
AY238472.1.gene1.p01	beta-lactam__CTX-M-15	beta-lactam
AY238971.1.gene2.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
AY243512.1.gene1.p01	beta-lactam__TEM-120	beta-lactam
AY248038.1.gene4.p01	beta-lactam__CARB-9	beta-lactam
AY259086.1.gene4.p01	chloramphenicol__catB	chloramphenicol
AY259086.1.gene5.p01	rifamycin__ADP-ribosylating transferase_arr	rifamycin
AY259119.1.gene1.p1	beta-lactam__SHV-44	beta-lactam
AY263404.1.gene1.p1	beta-lactam__SHV-48	beta-lactam
AY264780.2.gene3.p01	tetracycline__tet41	tetracycline
AY267213.1.gene1.p01	beta-lactam__CTX-M-29	beta-lactam
AY271267.1.gene1.p01	beta-lactam__TEM-121	beta-lactam
AY277255.2.gene1.p01	beta-lactam__SHV	beta-lactam
AY288523.1.gene1.p01	beta-lactam__OXA-49	beta-lactam
AY288915.1.gene1.p01	beta-lactam__SHV-50	beta-lactam
AY289548.1.gene1.p01	beta-lactam__SHV-51	beta-lactam
AY289608.1.gene2.p01	beta-lactam__OXA-53	beta-lactam
AY289608.1.gene3.p01	aminoglycoside__aac(6)-I	aminoglycoside
AY292654.1.gene1.p1	beta-lactam__CTX-M	beta-lactam
AY306130.1.gene1.p01	beta-lactam__OXA-50	beta-lactam
AY307100.1.gene1.p1	beta-lactam__TEM-1	beta-lactam
AY327539.1.gene1.p01	beta-lactam__TEM-123	beta-lactam
AY327540.1.gene1.p01	beta-lactam__TEM-124	beta-lactam
AY339625.2.gene8.p01	beta-lactam__CMY-13	beta-lactam
AY339985.2.gene4.p01	sulfonamide__sul1	sulfonamide
AY343493.1.gene1.p01	beta-lactam__OXA-55	beta-lactam
AY355285.1.gene3.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
AY368236.1.gene1.p1	beta-lactam__TEM-127	beta-lactam
AY368237.1.gene1.p1	beta-lactam__TEM-128	beta-lactam
AY423074.1.gene1.p01	beta-lactam__OXA-62	beta-lactam
AY436361.1.gene1.p01	beta-lactam__TEM-131	beta-lactam
AY445080.1.gene1.p01	beta-lactam__OXA-56	beta-lactam
AY463797.7.gene13.p01	aminoglycoside__aac(3)-I	aminoglycoside
AY463797.7.gene28.p01	tetracycline__tetA	tetracycline
AY463797.7.gene32.p01	aminoglycoside__aph(6)-I	aminoglycoside
AY485126.gene.p01	tetracycline__tetW	tetracycline
AY487229.1.gene4.p01	macrolide-lincosamide-streptogramin__erm(39)	macrolide-lincosamide-streptogramin
AY491682.1.gene1.p1	beta-lactam__TEM-132	beta-lactam
AY494717.1.gene1.p01	beta-lactam__GES-5	beta-lactam
AY494718.1.gene1.p01	beta-lactam__GES-13	beta-lactam
AY494945.1.gene2.p01	beta-lactam__ampC	beta-lactam
AY500137.1.gene1.p01	beta-lactam__OXA-54	beta-lactam
AY504627.1.gene1.p1	beta-lactam__IND-5	beta-lactam
AY513266.1.gene1.p01	beta-lactam__CMY-2	beta-lactam
AY515297.1.gene1.p1	beta-lactam__CTX-M-34	beta-lactam
AY518560.gene.p01	beta-lactam__SHV-5	beta-lactam
AY524276.3.gene1.p3	beta-lactam__SRT-2	beta-lactam
AY524987.1.gene1.p01	beta-lactam__VIM-8	beta-lactam
AY524988.1.gene1.p01	beta-lactam__VIM-9	beta-lactam
AY524989.1.gene1.p01	beta-lactam__VIM-10	beta-lactam
AY528425.1.gene1.p1	beta-lactam__TEM-133	beta-lactam
AY528718.1.gene1.p01	beta-lactam__SHV-1	beta-lactam
AY536519.1.gene1.p01	beta-lactam__VEB-3	beta-lactam
AY553332.1.gene1.p01	beta-lactam__IMP-14	beta-lactam
AY553333.1.gene1.p01	beta-lactam__IMP-15	beta-lactam
AY570763.1.gene3.p01	beta-lactam__OXA-58	beta-lactam
AY574271.1.gene1.p01	beta-lactam__TEM-134	beta-lactam
AY584237.1.gene1.p1	beta-lactam__SME-3	beta-lactam
AY587956.gene.p01	beta-lactam__OXA-61	beta-lactam
AY589493.1.gene1.p01	beta-lactam__TEM-112	beta-lactam
AY589494.1.gene1.p01	beta-lactam__TEM-113	beta-lactam
AY589495.1.gene1.p01	beta-lactam__TEM-114	beta-lactam
AY590467.1.gene1.p1	beta-lactam__SHV-53	beta-lactam
AY602213.1.gene1.p01	aminoglycoside__aadE	aminoglycoside
AY605049.2.gene1.p01	beta-lactam__VIM-2	beta-lactam
AY619003.1.gene1.p01	beta-lactam__OXA-63	beta-lactam
AY628175.1.gene1.p01	beta-lactam__TEM-109	beta-lactam
AY628176.1.gene1.p01	beta-lactam__TEM-125	beta-lactam
AY628199.1.gene1.p01	beta-lactam__TEM-126	beta-lactam
AY633109.1.gene1.p01	beta-lactam__LEN-5	beta-lactam
AY635904.1.gene1.p01	beta-lactam__metallo-beta-lactamase	beta-lactam
AY649755.1.gene1.p01	beta-lactam__CTX-M-37	beta-lactam
AY661885.1.gene1.p01	beta-lactam__SHV	beta-lactam
AY712687.1.gene1.p01	aminoglycoside__aad(6)	aminoglycoside
AY740681.1.gene9.p01	beta-lactam__PER-3	beta-lactam
AY743416.1.gene1.p01	beta-lactam__LEN-16	beta-lactam
AY743434.1.gene1.p01	beta-lactam__CMY-18	beta-lactam
AY743435.1.gene1.p01	beta-lactam__class C beta-lactamase	beta-lactam
AY743590.gene.p01	tetracycline__tet39	tetracycline
AY750907.1.gene1.p01	beta-lactam__OXA-64	beta-lactam
AY750908.1.gene1.p01	beta-lactam__OXA-65	beta-lactam
AY750909.1.gene1.p01	beta-lactam__OXA-66	beta-lactam
AY750910.1.gene1.p01	beta-lactam__OXA-68	beta-lactam
AY750911.1.gene1.p01	beta-lactam__OXA-69	beta-lactam
AY750912.1.gene1.p01	beta-lactam__OXA-70	beta-lactam
AY750913.1.gene1.p01	beta-lactam__OXA-71	beta-lactam
AY750914.gene.p01	beta-lactam__CTX-M-40	beta-lactam
AY758206.1.gene5.p01	aminoglycoside__aadA	aminoglycoside
AY762325.1.gene1.p01	beta-lactam__OXA-73	beta-lactam
AY769933.1.gene1.p01	beta-lactam__CfxA2	beta-lactam
AY780674.2.gene1.p01	beta-lactam__IMP-18	beta-lactam
AY790341.1.gene1.p01	beta-lactam__SHV-59	beta-lactam
AY795964.gene.p01	beta-lactam__OXA-23	beta-lactam
AY822595.1.gene1.p01	beta-lactam__CTX-M-38	beta-lactam
AY825285.gene.p01	tetracycline__tetB	tetracycline
AY825330.1.gene1.p01	beta-lactam__OKP-B	beta-lactam
AY826417.1.gene1.p01	beta-lactam__TEM-136	beta-lactam
AY847143.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
AY847144.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
AY847145.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
AY847146.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
AY847147.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
AY847148.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
AY853593.1.gene1.p1	beta-lactam__TEM-138	beta-lactam
AY859529.1.gene1.p01	beta-lactam__OXA-75	beta-lactam
AY862132.1.gene1.p01	beta-lactam__OXA-78	beta-lactam
AY874537.1.gene1.p01	beta-lactam__TEM-11	beta-lactam
AY939911.1.gene1.p01	aminoglycoside__aph(2)-Ie	aminoglycoside
AY949202.1.gene1.p01	beta-lactam__OXA-77	beta-lactam
AY949203.1.gene1.p01	beta-lactam__OXA-76	beta-lactam
AY954516.1.gene1.p1	beta-lactam__CTX-M-89	beta-lactam
AY956335.1.gene1.p1	beta-lactam__TEM-141	beta-lactam
AY960293.2.gene1.p2	beta-lactam__class C beta-lactamase	beta-lactam
B1LEM1	multidrug__mdtK	multidrug
B1LL36	multidrug__mdtL	multidrug
B1LLK9	polymyxin__arnA	polymyxin
B1YIX1	bacitracin__bacA	bacitracin
B2VGJ3	bacitracin__bacA	bacitracin
B6HZ32	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
B6I9E2	multidrug__mdtH	multidrug
B6IBA3	multidrug__mdtK	multidrug
B7LM76	polymyxin__arnA	polymyxin
B7LQA4	multidrug__mdtK	multidrug
B7LQD5	bacitracin__bacA	bacitracin
B7LT82	multidrug__mdtG	multidrug
B7LVU5	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
B7N5M0	polymyxin__arnA	polymyxin
B7N7S6	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
B7NAS9	multidrug__mdtG	multidrug
B7NF27	multidrug__mdtL	multidrug
B7NJS0	bacitracin__bacA	bacitracin
B7NNT4	polymyxin__arnA	polymyxin
B7NR12	multidrug__mdtL	multidrug
B7VAE6	bacitracin__bacA	bacitracin
BAA02119	tetracycline__tetL	tetracycline
BAA02494	beta-lactam__CMY-79	beta-lactam
BAA06245	aminoglycoside__aadD	aminoglycoside
BAA06252	beta-lactam__class A beta-lactamase	beta-lactam
BAA07084	beta-lactam__class A beta-lactamase	beta-lactam
BAA07390	tetracycline__tcr3	tetracycline
BAA07922	beta-lactam__class C beta-lactamase	beta-lactam
BAA08271	aminoglycoside__aph(3)-I	aminoglycoside
BAA12916	beta-lactam__class C beta-lactamase	beta-lactam
BAA31456	multidrug__mdtK	multidrug
BAA32077	beta-lactam__ampC	beta-lactam
BAA34299	multidrug__mexX	multidrug
BAA34300	multidrug__mexY	multidrug
BAA36484	multidrug__norA	multidrug
BAA78801	aminoglycoside__aadA	aminoglycoside
BAB37346	multidrug__TolC	multidrug
BAB59035	tetracycline__tet34	tetracycline
BAB71966	tetracycline__tetP	tetracycline
BAB71968	tetracycline__tetM	tetracycline
BAB82500	tetracycline__tetM	tetracycline
BAB86942	beta-lactam__penA	beta-lactam
BAB93733	aminoglycoside__aph(3)-I	aminoglycoside
BAC00986	aminoglycoside__aadD	aminoglycoside
BAC06841	beta-lactam__metallo-beta-lactamase	beta-lactam
BAC12781	fosfomycin__fosB	fosfomycin
BAC24097	multidrug__opmD	multidrug
BAC53608	beta-lactam__CTX-M	beta-lactam
BAC53825	macrolide-lincosamide-streptogramin__ermA	macrolide-lincosamide-streptogramin
BAC57479	beta-lactam__mecR1	beta-lactam
BAC58936	tetracycline__tet34	tetracycline
BAC59742	multidrug__mdtK	multidrug
BAC67134	tetracycline__tetB	tetracycline
BAC67136	tetracycline__tetB	tetracycline
BAC67138	tetracycline__tetA	tetracycline
BAC67142	tetracycline__tetB	tetracycline
BAC67143	tetracycline__tetB	tetracycline
BAC67144	tetracycline__tetA	tetracycline
BAC67147	tetracycline__tetD	tetracycline
BAC67151	tetracycline__tetG	tetracycline
BAC67152	tetracycline__tetY	tetracycline
BAC77251	multidrug__sdeY	multidrug
BAC77725	tetracycline__tetX	tetracycline
BAC79064	tetracycline__tetA	tetracycline
BAC79067	aminoglycoside__aph(6)-I	aminoglycoside
BAC98411	aminoglycoside__aadD	aminoglycoside
BAD00902	beta-lactam__PBP-2X	beta-lactam
BAD06399	beta-lactam__GES-3	beta-lactam
BAD08689	beta-lactam__GES-4	beta-lactam
BAD46890	tetracycline__tetQ	tetracycline
BAD60925	vancomycin__vanD	vancomycin
BAD67448	beta-lactam__PBP-2X	beta-lactam
BAD77819	trimethoprim__dfrA12	trimethoprim
BAD77822	trimethoprim__dfrA17	trimethoprim
BAD86537	macrolide-lincosamide-streptogramin__msrA	macrolide-lincosamide-streptogramin
BAD86538	macrolide-lincosamide-streptogramin__mphC	macrolide-lincosamide-streptogramin
BAD86539	macrolide-lincosamide-streptogramin__ermG	macrolide-lincosamide-streptogramin
BAD95814	aminoglycoside__aph(3)-V	aminoglycoside
BAE54319	macrolide-lincosamide-streptogramin__ereB	macrolide-lincosamide-streptogramin
BAE66664	trimethoprim__dfrA15	trimethoprim
BAE71359	beta-lactam__PSE-1	beta-lactam
BAE73191	trimethoprim__dfrA1	trimethoprim
BAE96115	vancomycin__vanY	vancomycin
BAE96116	vancomycin__vanD	vancomycin
BAE96117	vancomycin__vanD	vancomycin
BAE98117	aminoglycoside__aph(3)-III	aminoglycoside
BAF36555	sulfonamide__sul1	sulfonamide
BAF47404	beta-lactam__metallo-beta-lactamase	beta-lactam
BAF95849	beta-lactam__SHV	beta-lactam
BAG06200	beta-lactam__mecA	beta-lactam
BAG17078	aminoglycoside__aph(3)-I	aminoglycoside
BAG24378	beta-lactam__mecR1	beta-lactam
BAG76424	multidrug__mdfA	multidrug
BAG80136	multidrug__mdtM	multidrug
BAH17153	bacitracin__bacA	bacitracin
BAH18719	aminoglycoside__bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase	aminoglycoside
BAH61691	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
BAH62608	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
BAH62770	multidrug__mdtG	multidrug
BAH62779	multidrug__mdtH	multidrug
